detector,data_mode,family,seed,target_lensed_event_fraction,val_auc_sampled,full_waveform_r@1,full_waveform_r@5,full_waveform_r@10,test_pair_count,test_unlensed_count,test_catalog_size,test_lensed_event_fraction,sub_waveform_r@1,sub_waveform_r@5,sub_waveform_r@10,sub_waveform_r@50,sub_waveform_median_rank,valid,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_median_rank
LIGO,pure,SIS,5,0.1,1.0,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.963855421686747,1.0,1.0,1.0,1.0,166,0.9939759036144579,1.0,1.0,1.0,1.0
LIGO,pure,SIS,6,0.1,1.0000000000000002,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9819277108433735,0.9939759036144579,1.0,1.0,1.0,166,0.9819277108433735,0.9879518072289156,0.9879518072289156,0.9879518072289156,1.0
LIGO,pure,SIS,7,0.1,1.0,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9698795180722891,0.9879518072289156,0.9879518072289156,1.0,1.0,166,0.9879518072289156,1.0,1.0,1.0,1.0
LIGO,pure,SIS,8,0.1,1.0,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9518072289156626,1.0,1.0,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,pure,SIS,9,0.1,1.0,0.9543333333333334,0.9833333333333333,0.9886666666666667,83,1500,1666,0.09963985594237695,0.9518072289156626,0.963855421686747,0.9759036144578314,1.0,1.0,166,0.9819277108433735,0.9939759036144579,0.9939759036144579,0.9939759036144579,1.0
LIGO,pure,PM,0,0.1,0.9999999999999999,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9518072289156626,0.9759036144578314,0.9759036144578314,0.9879518072289156,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,pure,PM,1,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9819277108433735,1.0,1.0,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,pure,PM,2,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9759036144578314,0.9879518072289156,0.9879518072289156,0.9879518072289156,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,pure,PM,3,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9879518072289156,1.0,1.0,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,pure,PM,4,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9759036144578314,0.9939759036144579,0.9939759036144579,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
